C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200101,VIE,2,2,262,16942,208972,0,16942,2001,1
200101,VIE,2,3,0,1471,25890,0,0,2001,1
200101,GRZ,1,1,596,16371,70896,0,0,2001,1
200101,GRZ,1,2,595,17046,35217,0,17046,2001,1
200101,GRZ,1,3,0,550,0,0,0,2001,1
200101,GRZ,2,1,63,2756,47567,0,0,2001,1
200101,GRZ,2,2,62,2742,52398,0,2742,2001,1
200101,GRZ,2,3,0,630,0,0,0,2001,1
200101,INN,1,1,586,16905,19555,8372,0,2001,1
200101,INN,1,2,591,18341,21686,7962,18341,2001,1
200101,INN,1,3,0,19,0,0,0,2001,1
200101,INN,2,1,203,20199,0,0,0,2001,1
200101,INN,2,2,197,19155,0,0,19155,2001,1
200101,INN,2,3,0,560,0,0,0,2001,1
200101,KLU,1,1,326,7062,1614,0,0,2001,1
200101,KLU,1,2,325,8126,1955,0,8126,2001,1
200101,KLU,2,1,9,308,0,0,0,2001,1
200101,KLU,2,2,10,330,0,0,330,2001,1
200101,KLU,2,3,0,1,0,0,0,2001,1
200101,LNZ,1,1,507,12170,14738,3513,0,2001,1
200101,LNZ,1,2,503,12646,2562,131,12646,2001,1
200101,LNZ,1,3,0,1273,26,24,0,2001,1
200101,LNZ,2,1,119,4117,73791,0,0,2001,1
200101,LNZ,2,2,122,3351,38962,0,3351,2001,1
200101,LNZ,2,3,0,284,84859,0,0,2001,1
200101,SZG,1,1,582,16187,16212,1912,0,2001,1
200101,SZG,1,2,577,18080,5526,6916,18080,2001,1
200101,SZG,1,3,0,1352,3177,0,0,2001,1
200101,SZG,2,1,241,32251,3051,0,0,2001,1
200101,SZG,2,2,248,32255,54,0,32255,2001,1
200101,SZG,2,3,0,2738,0,0,0,2001,1
200102,VIE,1,1,6478,357677,4324954,245500,0,2001,2
200102,VIE,1,2,6484,358824,4742859,415699,358824,2001,2
200102,VIE,1,3,0,6614,309637,14016,0,2001,2
200102,VIE,2,1,298,21628,225689,1,0,2001,2
200102,VIE,2,2,291,23607,139599,0,23607,2001,2
200102,VIE,2,3,0,977,30995,1121,0,2001,2
200102,GRZ,1,1,543,17430,64139,0,0,2001,2
200102,GRZ,1,2,540,17577,39793,0,17577,2001,2
200102,GRZ,1,3,0,124,0,0,0,2001,2
200102,GRZ,2,1,74,4009,11229,0,0,2001,2
200102,GRZ,2,2,77,4586,0,0,4586,2001,2
200102,GRZ,2,3,0,591,0,0,0,2001,2
200102,INN,1,1,483,16874,19498,8050,0,2001,2
200102,INN,1,2,484,16945,20011,7656,16945,2001,2
200102,INN,1,3,0,62,0,0,0,2001,2
200102,INN,2,1,192,20484,0,0,0,2001,2
200102,INN,2,2,191,20128,0,0,20128,2001,2
